Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
491,Derrick White\whitede01,SG,26,SAS,8,189,0.395,0.452,0.341,0.483,0.733,0.508,0.174,0.512,85,86,93,90,94,89,70,130,-9.4,-11.9
492,Hassan Whiteside\whiteha01,C,31,SAC,23,335,0.58,0.584,0,0.58,0.545,0.586,0.399,0.007,125,111,,108,70,102,160,2,11.7,4.6
493,Greg Whittington\whittgr01,PF,27,DEN,2,8,0,,0,0,,0,0,1,,,,,,,,253,-2.1,-2.3
494,Andrew Wiggins\wiggian01,PF,25,GSW,36,1161,0.461,0.523,0.35,0.524,0.664,0.545,0.233,0.359,99,99,95,97,85,95,94,91,-14.2,-30
495,Grant Williams\willigr01,PF,22,BOS,27,495,0.443,0.48,0.411,0.552,0.517,0.556,0.274,0.528,95,91,111,103,66,97,110,134,3.1,-3.8
496,Kenrich Williams\willike04,PF,26,OKC,35,655,0.549,0.6,0.425,0.611,0.625,0.617,0.148,0.29,118,114,115,114,80,108,60,74,23.9,15.7
497,Lou Williams\willilo02,PG,34,LAC,34,767,0.421,0.43,0.396,0.474,0.87,0.526,0.255,0.266,91,82,107,88,112,92,102,67,-46,-37
498,Patrick Williams\willipa01,PF,19,CHI,33,939,0.474,0.508,0.39,0.53,0.788,0.566,0.246,0.287,102,96,106,99,101,99,99,73,-4.1,-3.6
499,Robert Williams\williro04,C,23,BOS,28,445,0.718,0.724,0,0.718,0.622,0.717,0.316,0.009,154,137,,134,80,125,127,2,42.2,38.6
500,Zion Williamson\willizi01,PF,20,NOP,34,1126,0.614,0.624,0.316,0.619,0.695,0.65,0.511,0.035,132,118,86,115,89,114,205,9,89.1,105.4
501,D.J. Wilson\wilsodj01,PF,24,MIL,11,99,0.366,0.4,0.346,0.476,0.5,0.478,0.049,0.634,79,76,94,88,64,84,20,161,-5.1,-7.9
502,Dylan Windler\windldy01,SF,24,CLE,22,417,0.456,0.6,0.365,0.568,0.808,0.603,0.252,0.612,98,114,99,106,104,105,101,155,6.3,7.2
503,Justise Winslow\winslju01,SF,24,MEM,5,110,0.396,0.462,0.214,0.425,0.6,0.444,0.189,0.264,85,87,58,79,77,78,76,67,-12,-14.6
504,Cassius Winston\winstca01,PG,22,WAS,6,44,0.4,0.333,0.429,0.55,1,0.597,0.2,0.7,86,63,116,102,128,105,80,177,0.3,0.6
505,James Wiseman\wisemja01,C,19,GSW,25,506,0.519,0.534,0.4,0.541,0.632,0.561,0.292,0.107,112,101,109,101,81,98,117,27,1.6,-5.6
506,Robert Woodard\woodaro01,SF,21,SAC,6,17,0.545,0.625,0.333,0.591,0,0.547,0.182,0.273,117,118,90,110,,96,73,69,1.2,-0.6
507,Christian Wood\woodch01,C,25,HOU,17,530,0.558,0.613,0.421,0.618,0.688,0.634,0.24,0.285,120,116,114,115,88,111,96,72,43,36.5
508,Delon Wright\wrighde01,SG,28,DET,29,848,0.468,0.506,0.384,0.528,0.785,0.575,0.336,0.311,101,96,104,98,101,101,135,79,-4.6,1.6
509,Thaddeus Young\youngth01,PF,32,CHI,30,760,0.61,0.643,0.227,0.619,0.5,0.615,0.168,0.08,131,122,62,115,64,108,68,20,44.5,25.6
510,Trae Young\youngtr01,PG,22,ATL,34,1182,0.429,0.46,0.378,0.499,0.878,0.595,0.538,0.369,92,87,103,93,113,104,216,93,-46.7,34.6
511,Cody Zeller\zelleco01,C,28,CHO,18,421,0.514,0.569,0.158,0.525,0.758,0.556,0.232,0.134,111,108,43,98,97,97,93,34,-3.6,-5
512,Ivica Zubac\zubaciv01,C,23,LAC,37,725,0.669,0.672,0,0.669,0.819,0.715,0.483,0.006,144,127,,124,105,125,194,1,45.1,59.6
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
