Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
75,Jalen Brunson\brunsja01,PG,24,DAL,30,748,0.53,0.606,0.402,0.605,0.853,0.646,0.286,0.37,114,115,109,113,110,113,115,94,35.4,43.7
76,Thomas Bryant\bryanth01,C,23,WAS,10,271,0.648,0.714,0.429,0.698,0.667,0.704,0.264,0.231,140,135,116,130,86,123,106,58,29.2,26.9
77,Reggie Bullock\bullore01,SF,29,NYK,31,809,0.411,0.457,0.381,0.526,0.857,0.543,0.091,0.602,88,87,103,98,110,95,37,153,-5.3,-13.7
78,Trey Burke\burketr01,PG,28,DAL,33,537,0.449,0.505,0.394,0.549,0.871,0.576,0.151,0.507,97,96,107,102,112,101,61,129,4.6,2
79,Alec Burks\burksal01,SG,29,NYK,24,597,0.404,0.404,0.404,0.509,0.839,0.554,0.257,0.523,87,77,110,95,108,97,103,133,-12.3,-8.4
80,Jimmy Butler\butleji01,SF,31,MIA,21,695,0.442,0.468,0.219,0.453,0.862,0.56,0.578,0.106,95,89,59,84,111,98,232,27,-50.5,-8.7
81,Bruno Caboclo\cabocbr01,PF,25,HOU,6,36,0.471,0.667,0,0.471,0.5,0.475,0.118,0.294,101,126,,88,64,83,47,75,-2.3,-3.4
82,Devontae Cacok\cacokde01,PF,24,LAL,4,17,1,1,,1,0,0.82,0.5,0,215,190,,186,,143,201,,3.7,2.4
83,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,33,863,0.438,0.484,0.402,0.551,0.848,0.586,0.205,0.567,94,92,109,103,109,102,83,144,6.2,6.8
84,Facundo Campazzo\campafa01,PG,29,DEN,30,488,0.405,0.462,0.379,0.536,0.811,0.58,0.294,0.691,87,87,103,100,104,101,118,175,-0.4,2.3
85,Vlatko Čančar\cancavl01,PF,23,DEN,19,106,0.333,0.5,0.167,0.375,0.833,0.432,0.25,0.5,72,95,45,70,107,76,101,127,-7.8,-7.5
86,Clint Capela\capelca01,C,26,ATL,32,949,0.589,0.589,,0.589,0.55,0.593,0.283,0,127,112,,110,71,104,114,,36.6,17.1
87,Vernon Carey Jr.\careyve01,C,19,CHO,3,6,0.333,0.5,0,0.333,0.5,0.387,0.667,0.333,72,95,,62,64,68,268,84,-1.2,-1.4
88,Jevon Carter\carteje01,PG,25,PHO,28,277,0.351,0.458,0.302,0.455,1,0.462,0.026,0.688,75,87,82,85,128,81,10,174,-12.8,-17
89,Michael Carter-Williams\cartemi01,SG,29,ORL,17,450,0.403,0.443,0.258,0.431,0.763,0.476,0.264,0.215,87,84,70,80,98,83,106,55,-30.8,-30.8
90,Wendell Carter Jr.\cartewe01,C,21,CHI,23,618,0.535,0.556,0.35,0.553,0.733,0.598,0.434,0.101,115,105,95,103,94,105,175,26,6.2,12.4
91,Alex Caruso\carusal01,PG,26,LAL,29,577,0.428,0.453,0.4,0.524,0.696,0.541,0.159,0.483,92,86,109,98,89,95,64,122,-3.9,-9.4
92,Willie Cauley-Stein\caulewi01,C,27,DAL,31,537,0.625,0.651,0.167,0.629,0.646,0.646,0.429,0.054,134,123,45,117,83,113,172,14,20.6,19.8
93,Chris Chiozza\chiozch01,PG,25,BRK,15,136,0.362,0.333,0.391,0.457,0.769,0.503,0.277,0.489,78,63,106,85,99,88,111,124,-7.5,-7.3
94,Marquese Chriss\chrisma01,PF,23,GSW,2,27,0.357,0.444,0.2,0.393,0.5,0.412,0.286,0.357,77,84,54,73,64,72,115,91,-4,-5
95,Brandon Clarke\clarkbr01,PF,24,MEM,26,697,0.515,0.552,0.333,0.543,0.66,0.56,0.199,0.169,111,105,90,101,85,98,80,43,3.1,-6.8
96,Gary Clark\clarkga01,SF,26,ORL,30,572,0.295,0.412,0.274,0.411,0.889,0.431,0.08,0.848,63,78,74,76,114,75,32,215,-28.4,-32.6
97,Jordan Clarkson\clarkjo01,SG,28,UTA,36,937,0.447,0.554,0.37,0.555,0.967,0.581,0.113,0.581,96,105,100,103,124,102,46,147,18.3,9.8
98,Nicolas Claxton\claxtni01,C,21,BRK,5,76,0.69,0.714,0,0.69,0.714,0.711,0.483,0.035,148,135,,128,92,124,194,9,8.8,9.8
99,Amir Coffey\coffeam01,SG,23,LAC,20,154,0.525,0.526,0.524,0.662,0.333,0.637,0.225,0.525,113,100,142,123,43,111,90,133,10,5.7
100,John Collins\collijo01,PF,23,ATL,36,1104,0.536,0.592,0.388,0.589,0.853,0.625,0.232,0.275,115,112,105,110,110,109,93,70,48.8,54.8
101,Mike Conley\conlemi01,PG,33,UTA,29,853,0.444,0.468,0.422,0.555,0.829,0.588,0.209,0.529,95,89,114,103,107,103,84,134,12.8,12.7
102,Pat Connaughton\connapa01,SG,28,MIL,32,666,0.436,0.527,0.391,0.567,0.824,0.583,0.103,0.667,94,100,106,105,106,102,41,169,9.6,3.8
103,Quinn Cook\cookqu01,PG,27,LAL,16,62,0.462,0.538,0.385,0.558,0.8,0.585,0.192,0.5,99,102,104,104,103,102,77,127,1.1,0.8
104,Tyler Cook\cookty01,PF,23,BRK,4,17,0.333,0.333,,0.333,,0.333,0,0,72,63,,62,,58,,,-1.2,-1.4
105,DeMarcus Cousins\couside01,C,30,HOU,25,506,0.376,0.425,0.336,0.469,0.746,0.511,0.281,0.552,81,81,91,87,96,89,113,140,-28.7,-28.8
106,Robert Covington\covinro01,PF,30,POR,32,1017,0.376,0.465,0.337,0.494,0.808,0.513,0.11,0.7,81,88,92,92,104,90,44,178,-20.7,-29.1
107,Torrey Craig\craigto01,SF,30,MIL,17,194,0.395,0.409,0.381,0.488,0.5,0.49,0.046,0.488,85,78,103,91,64,86,19,124,-4.2,-7.2
108,Jae Crowder\crowdja01,PF,30,PHO,31,859,0.395,0.477,0.369,0.534,0.829,0.557,0.133,0.753,85,90,100,99,106,97,54,191,-1.7,-8.3
109,Jarrett Culver\culveja01,SG,21,MIN,19,376,0.422,0.495,0.229,0.453,0.6,0.478,0.273,0.273,91,94,62,84,77,84,110,69,-21.6,-27
110,Seth Curry\curryse01,SG,30,PHI,28,836,0.469,0.489,0.448,0.576,0.923,0.614,0.199,0.477,101,93,122,107,119,107,80,121,20.4,24.3
111,Stephen Curry\curryst01,PG,32,GSW,35,1194,0.478,0.567,0.411,0.595,0.934,0.646,0.274,0.572,103,107,112,111,120,113,110,145,83.2,119
112,Anthony Davis\davisan02,PF,27,LAL,23,755,0.533,0.575,0.293,0.555,0.715,0.588,0.339,0.151,115,109,80,103,92,103,136,38,13.3,14.7
113,Ed Davis\davised01,C,31,MIN,19,264,0.419,0.419,,0.419,0.875,0.462,0.186,0,90,79,,78,112,81,75,,-10.2,-10.2
114,Terence Davis\daviste02,SG,23,TOR,29,411,0.41,0.479,0.363,0.517,0.867,0.534,0.087,0.59,88,91,98,96,111,94,35,149,-7,-13.3
115,DeMar DeRozan\derozde01,PF,31,SAS,28,945,0.489,0.515,0.32,0.511,0.891,0.602,0.505,0.132,105,98,87,95,114,105,203,33,-20.5,27.9
116,Hamidou Diallo\diallha01,SG,22,OKC,32,761,0.481,0.512,0.293,0.502,0.629,0.536,0.444,0.138,104,97,79,93,81,94,179,35,-21.2,-25
117,Gorgui Dieng\dienggo01,C,31,MEM,22,371,0.518,0.55,0.479,0.625,0.884,0.681,0.398,0.444,112,104,130,116,114,119,160,113,18.9,27.9
118,Spencer Dinwiddie\dinwisp01,SG,27,BRK,3,64,0.375,0.444,0.286,0.438,1,0.536,0.375,0.438,81,84,78,81,128,94,151,111,-3.2,-1.3
119,Donte DiVincenzo\divindo01,SG,24,MIL,35,930,0.423,0.461,0.39,0.526,0.613,0.533,0.095,0.528,91,87,106,98,79,93,38,134,-7.4,-26.3
120,Luka Dončić\doncilu01,PG,21,DAL,32,1125,0.477,0.544,0.357,0.541,0.757,0.587,0.382,0.356,103,103,97,101,97,103,153,90,5,24
121,Luguentz Dort\dortlu01,SG,21,OKC,34,1004,0.391,0.47,0.325,0.48,0.753,0.514,0.231,0.543,84,89,88,89,97,90,93,138,-42.6,-46.5
